Title,Eps,Years,Rating
Sousou no Frieren,28,Sep 2023 - Mar 2024,9.14
Fullmetal Alchemist: Brotherhood,64,Apr 2009 - Jul 2010,9.09
Steins;Gate,24,Apr 2011 - Sep 2011,9.07
Gintama°,51,Apr 2015 - Mar 2016,9.06
Shingeki no Kyojin Season 3 Part 2,10,Apr 2019 - Jul 2019,9.05
Gintama: The Final,1,Jan 2021 - Jan 2021,9.04
Hunter x Hunter (2011),148,Oct 2011 - Sep 2014,9.04
Bleach: Sennen Kessen-hen,13,Oct 2022 - Dec 2022,9.03
Gintama',51,Apr 2011 - Mar 2012,9.03
Gintama': Enchousen,13,Oct 2012 - Mar 2013,9.03
Kaguya-sama wa Kokurasetai: Ultra Romantic,13,Apr 2022 - Jun 2022,9.03
Ginga Eiyuu Densetsu,110,Jan 1988 - Mar 1997,9.02
Fruits Basket: The Final,13,Apr 2021 - Jun 2021,8.99
Gintama.,12,Jan 2017 - Mar 2017,8.98
Gintama,201,Apr 2006 - Mar 2010,8.94
Shingeki no Kyojin: The Final Season - Kanketsu-hen,2,Mar 2023 - Nov 2023,8.94
Koe no Katachi,1,Sep 2016 - Sep 2016,8.93
Clannad: After Story,24,Oct 2008 - Mar 2009,8.93
3-gatsu no Lion 2nd Season,22,Oct 2017 - Mar 2018,8.92
Code Geass: Hangyaku no Lelouch R2,25,Apr 2008 - Sep 2008,8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1,Jul 2013 - Jul 2013,8.91
Jujutsu Kaisen 2nd Season,23,Jul 2023 - Dec 2023,8.91
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14,Jul 2018 - Oct 2018,8.88
Monster,74,Apr 2004 - Sep 2005,8.88
Violet Evergarden Movie,1,Sep 2020 - Sep 2020,8.88
Owarimonogatari 2nd Season,7,Aug 2017 - Aug 2017,8.87
Kimi no Na wa.,1,Aug 2016 - Aug 2016,8.84
Kingdom 3rd Season,26,Apr 2020 - Oct 2021,8.81
Bocchi the Rock!,12,Oct 2022 - Dec 2022,8.81
Gintama.: Shirogane no Tamashii-hen,12,Jan 2018 - Mar 2018,8.81
